,순번,영화명,감독,개봉일,국적,전국관객수,장르,등급
14294,401,원더 우먼,팻티 젠킨스,2017-05-31,미국,2165401,액션,12세이상관람가
14295,400,황해,나홍진,2010-12-22,한국,2167426,스릴러,청소년관람불가
14296,399,맨 오브 스틸,잭 스나이더,2013-06-13,미국,2182227,SF,12세이상관람가
14297,398,이상한 나라의 앨리스,팀 버튼,2010-03-04,미국,2182365,판타지,전체관람가
14298,395,강남 1970,유하,2015-01-21,한국,2192172,액션,청소년관람불가
14299,394,악의 연대기,백운학,2015-05-14,한국,2192243,스릴러,15세이상관람가
14300,392,마당을 나온 암탉,오성윤,2011-07-28,한국,2199048,애니메이션,전체관람가
14301,384,타짜: 원 아이드 잭,권오광,2019-09-11,한국,2227671,범죄,청소년관람불가
14302,383,7광구,김지훈,2011-08-04,한국,2232179,SF,15세이상관람가
14303,381,셜록홈즈 : 그림자 게임,가이 리치,2011-12-21,미국,2239156,액션,15세이상관람가
14304,379,배틀쉽,피터 버그,2012-04-11,미국,2241687,SF,12세이상관람가
14305,377,레디 플레이어 원,스티븐 스필버그,2018-03-28,미국,2254430,액션,12세이상관람가
14306,376,배트맨 대 슈퍼맨: 저스티스의 시작,잭 스나이더,2016-03-24,미국,2256913,액션,12세이상관람가
14307,373,슈렉 포에버,마이크 미첼,2010-07-01,미국,2261356,애니메이션,전체관람가
14308,372,컨저링,제임스 완,2013-09-17,미국,2262758,공포(호러),15세이상관람가
14309,370,나잇&데이,제임스 맨골드,2010-06-24,미국,2282191,액션,15세이상관람가
14310,369,호빗: 스마우그의 폐허,피터 잭슨,2013-12-12,미국,2282744,어드벤처,12세이상관람가
14311,368,맘마미아!2,올 파커,2018-08-08,미국,2285143,뮤지컬,12세이상관람가
14312,366,메이즈 러너: 데스 큐어,웨스 볼,2018-01-17,미국,2299732,액션,12세이상관람가
14313,365,하녀,임상수,2010-05-13,한국,2304487,스릴러,청소년관람불가
14314,364,테이큰 2,올리비에 메가턴,2012-09-27,프랑스,2308596,액션,청소년관람불가
14315,363,모아나,"론 클레멘츠,존 머스커",2017-01-12,미국,2310054,애니메이션,전체관람가
14316,362,스파이,폴 페이그,2015-05-21,미국,2315882,액션,15세이상관람가
14317,361,라스트 갓파더,심형래,2010-12-29,한국,2316099,코미디,12세이상관람가
14318,355,박열,이준익,2017-06-28,한국,2359174,드라마,12세이상관람가
14319,354,블라인드,안상훈,2011-08-10,한국,2362906,스릴러,청소년관람불가
14320,353,가문의 영광4 - 가문의 수난,정태원,2011-09-07,한국,2363955,코미디,15세이상관람가
14321,351,007 스카이폴,샘 멘데스,2012-10-26,미국,2376145,액션,15세이상관람가
14322,349,화이: 괴물을 삼킨 아이,장준환,2013-10-09,한국,2391963,액션,청소년관람불가
14323,348,의뢰인,손영성,2011-09-29,한국,2393086,스릴러,15세이상관람가
14324,347,사바하,장재현,2019-02-20,한국,2397792,미스터리,15세이상관람가
14325,346,히트맨,최원섭,2020-01-22,한국,2406232,코미디,15세이상관람가
14326,345,터미네이터: 다크 페이트,팀 밀러,2019-10-30,미국,2410227,액션,15세이상관람가
